expname,ckp_time_stamp,datasetname,Loss Type,Backbone,Accuracy (%),EER (%),note
exp1,2024-10-15_16-00,CIFAR100,Softmax,Resnet18,76.31,4.78,
exp2,2024-10-15_16-01,CIFAR100,ArcFace,Resnet18,76.03,7.91,
exp3,2024-10-15_16-02,CIFAR100,elasticfaceplusarc,Resnet18,76.41,9.9,
exp4,2024-10-15_16-03,CIFAR100,unifacearc,Resnet18,74.53,10.94,
exp9,2024-10-16_11-30,CIFAR100,triplet,Resnet18,71.43,6.58,
,,,,,,,
expname,ckp_time_stamp,datasetname,Loss Type,Backbone,Accuracy (%),EER (%),note
exp5,2024-10-15_16-10,CIFAR10,Softmax,Resnet18,93.71,3.25,
exp6,2024-10-15_16-11,CIFAR10,ArcFace,Resnet18,93.77,2.92,
exp7,2024-10-15_16-12,CIFAR10,elasticfaceplusarc,Resnet18,94.34,3.16,
exp8,2024-10-15_16-13,CIFAR10,unifacearc,Resnet18,91.72,8.85,
exp10,2024-10-16_11-31,CIFAR10,triplet,Resnet18,94.01,2.96,
